Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Standard Deviation
0xd4c6ce12cc1c39d5ffa8b7e444c90a7e17b573843020d846d1650792f55a26d2,12369744,1620158020,5/4/2021 19:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x6cdb0a4902c81e9c63de8c486f31e8d5ddc0a9f7,7297.942096,67902.48598
0x10920acdfb020b3896021ad84b13f1aeb1c25b003f7b2a474e414fccb796c352,12369750,1620158114,5/4/2021 19:55,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x156d3129b2fd634d5b0817132401aa68b0126098,6484.024109,30107.79095
0xc0f440983a507703fdc316fed046fcef3914329317d44ce92ff234cf0da34eb0,12369755,1620158227,5/4/2021 19:57,0x78c49a9ff270562f0aaea3e54c12d5841acdf599,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10000,-5521.035858
0x9c7813588846557865b3caedabd7d2af9215522a4d6e522f00fa10bf9098d251,12369757,1620158259,5/4/2021 19:57,0x3ec44a823e07555b5f889d8d954eec736eb5865b,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,2500,-2604.575497
0x395c4af6984a7df43abca6770e7724cde1cc7f32e1e8e32b8fcf3deae7341a99,12369762,1620158299,5/4/2021 19:58,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x59903993ae67bf48f10832e9be28935fee04d6f6,10575.39377,43194.30842
0x03b46a2ddb2a96ef7e227baded9d7c44c7ff5d75a6c399ed93a323c732d54e0c,12369762,1620158299,5/4/2021 19:58,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xa679a45e9fde61846afac70c321248ad097b47b7,7348.385585,-5834.314395
0x4aa5a345419c313a01b4f64997fa8de2ccf12ae415958c00acd13a1f113f1277,12369762,1620158299,5/4/2021 19:58,0x59903993ae67bf48f10832e9be28935fee04d6f6,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10575.39377,44410.23659
0xdf13d1e9c703ffaa1f8f5ad8cdfb2d3892044aa2db141cebf77b12d9fce4d8d3,12369767,1620158326,5/4/2021 19:58,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x61601381980350964a3384a32af131404e116af3,3042.409183,8758.3373
0xaa7f6ac3ec871a8d504c82addd355939a1a179647a415fa092070968351f0709,12369767,1620158326,5/4/2021 19:58,0x8b970308e8935bd874166c7a252bb8f4c39b03b5,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10000,79645.39934
0xfb565ec474ffa83c9eef44c7fab599a6eda9069d75ce0fc923d5065b477dfa02,12369770,1620158371,5/4/2021 19:59,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,7060.224497,17617.80359
